entity_id,entity_name,group_id,date,signal_type,severity,severity_rule,magnitude,magnitude_unit,detail,source_doc,source_page,evidence_text
N_浙江东望时代科技股份有限公司,浙江东望时代科技股份有限公司,,,share_pledge,high,"本次质押占其持股 >=80% high, >=50% medium",59093631.0,股,复创信息 质押给 中信银行股份有限公司金华东阳支行,data/gold/blind_test/blind_001_600052_dongwang.json,1,"证券代码：600052       证券简称：东望时代      公告编号：临2025-050 
浙江东望时代科技股份有限公司 
关于股东股份质押的公告 
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述
或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 
重要内容提示： 
 浙江东望时代科技股份有限公司（以下简称“公司”）股东东阳复创信
息技术有限公司（以下简称“复创信息”）持有公司59,093,631 股无限售流通
股，占公司总股本的7.00%。本次股份质押后，复创信息累计质押公司股份
59,093,631 股，占其所持有的公司股份比例为100.00%，占公司总股本比例为
7.00%。 
公司于2025 年3 月28 日获悉股东复创信息所持有的公司股份被质押，具体
情况如下： 
一、股份质押情况 
1、本次股份质押的基本情况 
股东
名称 
是否
为控
股股
东 
本次质押股
数（股） 
是否
为限
售股 
是否
补充
质押 
质押起始日 质押到期日 
质权人 
占其所
持股份
比例 
占公司
总股本
比例 
质押
融资
资金
用途 
复创
信息 
否 
59,093,631 
否 
否 
2025 年3
月27 日 
2030 年3
月27 日 
中信银行股
份有限公司
金华东阳支
行 
100.00% 
7.00% 
资金
周转 
合计 
/ 
59,093,631 
/ 
/ 
/ 
/ 
/ 
100.00% 
7.00% 
/ 
2、本次质押的股份不存在被用作重大资产重组业绩补偿等事项的担保或其
他保障用途等情况。 
二、股东累计质押股份情况 
截至本公告披露日，复创信息累计质押股份情况如下："
N_贵州益佰制药股份有限公司,贵州益佰制药股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",26800000.0,股,窦啟玲 质押给 海通证券股份有限公司,data/gold/blind_test/blind_002_600594_yibai.json,1,"证券代码：600594         证券简称：益佰制药        公告编号：2025-008 
 
贵州益佰制药股份有限公司 
关于控股股东部分股份质押及解除质押的公告 
 
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述
或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 
 
重要内容提示: 
控股股东窦啟玲女士持有贵州益佰制药股份有限公司（以下简称“公司”）
股份数量185,457,636 股，占公司总股本的23.42%，控股股东窦啟玲女士持有
公司股份累计质押数量（含本次质押和解除质押）为118,660,650 股，占其持股
数量的63.98%，占公司总股本的14.98%。 
控股股东窦啟玲女士及其一致行动人窦雅琪女士累计质押股份数量（含本
次质押和解除质押）为118,660,650 股，占窦啟玲女士及其一致行动人窦雅琪女
士合计所持公司股份的63.89%，占公司总股本的14.98%。 
 
近日，公司获悉控股股东窦啟玲女士将所持有的本公司部分股份办理了股票
质押及解除质押业务，具体情况如下： 
一、本次股份质押情况 
股东名称 
是否为
控股股
东 
本次质押股
数（股） 
是否
为限
售股 
是否
补充
质押 
质押起始日 质押到期日 
质权人 
占其所
持股份
比例 
占公司总
股本比例 
质押
融资
资金
用途 
窦啟玲 
是 
26,800,000 
否 
否 
2025/3/27 
2025/12/31 
海通证券
股份有限
公司 
14.45% 
3.38% 
偿还 
债务 
合计 
/ 
26,800,000 
/ 
/ 
/ 
/ 
/ 
14.45% 
3.38% 
/ 
注：以上数据因四舍五入原因导致数据在尾数上略有差异。 
被质押股份不存在被用作重大资产重组业绩补偿等事项的担保或其他保障
用途情况。"
N_江河创建集团股份有限公司,江河创建集团股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",680.0,股,江河汇众 质押给 海通证券,data/gold/blind_test/blind_003_601886_jianghe.json,2,"2 
 
持股数量（万股） 
15,613.76 
持股比例 
13.78% 
剩余被质押股份数量（万股） 
8,655 
剩余被质押股份数量占其所持股份比例 
55.43% 
剩余被质押股份数量占公司总股本比例 
7.64% 
2.质押及续期情况 
公司针对 2024 年 5 月 10 日（详见临 2024-022 号公告）与海通证券办理的
股份质押业务，完成了补充质押及续期手续，续期一年至2026 年5 月8 日，该笔质
押及续期不涉及新的融资，质押情况具体如下： 
    
股东 
名称 
是否为
控股股
东 
本次质
押股份
数量 
（万股） 
是否为
限售股 
是否补
充质押 
质押起
始日 
质押到
期日 
质权人 
占其所
持股份
比例 
占公司
总股本
比例 
质押融
资资金
用途 
江河 
汇众 
否 
680 
否 
是 
2025.3.
27 
2026.5.
8 
海通 
证券 
4.36% 
0.60% 
不适用 
3.累计质押情况 
股东
名称 
持股数量 
持股
比例
(%) 
本次业
务办理
前累计
质押数
量 
本次业
务办理
后累计
质押数
量 
占其
所持
股份
比例
(%) 
占公
司总
股本
比例
(%) 
已质押股份情况 
未质押股份情况 
已质押
股份中
限售股
份数量 
已质押
股份中
冻结股
份数量 
未质押
股份中
限售股
份数量 
未质押
股份中
冻结股
份数量 
江河
汇众 15,613.76 
13.78 
10,385 
9,335 
59.79 8.24 
0 
0 
0 
0 
江河汇众还款来源包括公司分红、投资收益等。后续如出现平仓风险，上述股
东将采取包括补充质押、提前还款等措施应对上述风险，敬请投资者注意投资风险。 
特此公告。 
江河创建集团股份有限公司董事会 
   2025 年3 月28 日"
N_用友网络科技股份有限公司,用友网络科技股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",35000000.0,股,北京用友科技 质押给 北京中关村银行股份有限公司,data/gold/blind_test/blind_007_600588_yonyou.json,2,"解质时间
2025 年6 月24 日
持股数量（股）
921,161,630
持股比例（%）
26.96
剩余被质押股份数量（股）
305,800,000
剩余被质押股份数量占其所持股份比例（%）
33.20
剩余被质押股份数量占公司总股本比例（%）
8.95
二、公司股份质押基本情况
1、本次股份质押基本情况
2025 年6 月26 日，北京用友科技将其持有公司35,000,000 股无限售流通股
质押给北京中关村银行股份有限公司，该股份质押登记手续已于2025 年6 月27
日办理完毕。
公司于2025 年6 月27 日接到北京用友科技通知，获悉上述股份已质押，本
次股份质押情况具体如下：
股东名
称
是否为
控股股
东
本次质押股
数（股）
是否为限售
股（如是，注
明限售类型）
是否
补充
质押
质押起始日
质押到期日
质权人
占其所
持股份
比例
（%）
占公司
总股本
比例
（%）
质押融
资资金
用途
北京用
友科技
是
35,000,000
否
否
2025-6-26
办理解除质
押登记手续
为止
北京中关
村银行股
份有限公
司
3.80
1.02
偿还债
务
2、本次质押股份不涉及被用作重大资产重组业绩补偿等事项担保或其他保
障用途的情形。
三、控股股东及其一致行动人累计质押股份情况
截至2025 年6 月27 日，北京用友科技及其一致行动人上海用友科技咨询有
限公司、北京用友企业管理研究所有限公司共持有本公司股份1,421,079,511 股，
占公司总股本的41.59%，北京用友科技及其一致行动人累计质押股份情况如下：
股东名称
持股数量（股）
持股比
例（%）
本次质押前累
计质押数量
（股）
本次质押后
累计质押数
量（股）
占其所
持股份
比例
（%）
占公司
总股本
比例
（%）
已质押股份情况
未质押股份情况
已质押
股份中
限售股
已质押股
份中冻结
股份数量
未质押
股份中
限售股
未质押股
份中冻结
股份数量"
N_上海豫园旅游商城(集团)股份有限公司,上海豫园旅游商城（集团）股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",40930000.0,股,上海复地投资管理有限公司 质押给 重庆国际信托股份有限公司,data/gold/blind_test/blind_009_600655_yuyuan.json,2,"2
股东名
称
是否为
控股股
东
本次质押股数
是否为限售
股（如是，
注明限售类
型）
是否补
充质押
质押起始
日
质押到期
日
质权人
占其所
持股份
比例
占公司
总股本
比例
质押融
资资金
用途
上海复
地投资
管理有
限公司
控股股
东一致
行动人
40,930,000
否
否
2025 年6
月26 日
2026 年6
月26 日
重庆国际
信托股份
有限公司
4.00%
1.05%
偿还债
务
2.上述质押股份不存在被用作重大资产重组业绩补偿等事项的担保或其他
保障用途的情形。
3.股东累计质押股份情况
截至公告披露日，复星高科技及其一致行动人累计质押股份情况如下：
股东名称
持股数量（股）
持股比
例（%）
本次质押前累
计质押数量
（股）
本次质押后累
计质押数量
（股）
占其所
持股份
比例
占公司
总股本
比例
已质押股份情况
未质押股份情况
已质押
股份中
限售股
份数量
已质押
股份中
冻结股
份数量
未质押
股份中
限售股
份数量
未质押
股份中
冻结股
份数量
上海复川
投资有限
公司
190,210,308
4.88%
190,210,308
190,210,308
100.00%
4.88%
0
0
0
0
上海复科
投资有限
公司
84,389,671
2.17%
84,389,671
84,389,671
100.00%
2.17%
0
0
0
0
南京复久
紫郡投资
管理有限
公司
49,004,276
1.26%
6,500,000
6,500,000
13.26%
0.17%
0
0
0
0
上海复晶
投资管理
有限公司
26,218,663
0.67%
23,205,436
23,205,436
88.51%
0.60%
0
0
0
0
上海艺中
投资有限
公司
120,966,012
3.10%
105,000,000
105,000,000
86.80%
2.69%
0
0
0
0
重庆润江
置业有限
公司
89,257,789
2.29%
84,200,000
84,200,000
94.33%
2.16%
0
0
0
0
上海复迈
投资有限
公司
54,184,903
1.39%
47,400,021
47,400,021
87.48%
1.22%
0
0
0
0
上海复地
1,023,403,904
26.26%
673,796,282
714,726,282
69.84%
18.34%
0
0
0
0"
N_福建火炬电子科技股份有限公司,福建火炬电子科技股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",2400000.0,股,蔡劲军 质押给 中信证券股份有限公司,data/gold/blind_test/blind_010_603678_torch.json,1,"证券代码：603678
证券简称：火炬电子
公告编号：2025-043
福建火炬电子科技股份有限公司
关于实际控制人部分股份质押及解除质押的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述
或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
福建火炬电子科技股份有限公司（以下简称“公司”）实际控制人之一蔡
劲军先生持有公司无限售条件流通股25,259,655 股，占公司总股本的5.31%。本
次质押及解除质押后，蔡劲军先生累计质押本公司股份2,400,000 股，占其所持
本公司股份总数的9.50%。
本公告涉及的股数占比是以公司目前总股本475,566,631 股计算所得。
一、本次股份质押及解除质押的基本情况
公司于2025 年6 月27 日收到实际控制人之一蔡劲军先生的通知，获悉其将
所持有的本公司部分股份办理了质押及解除质押业务，具体情况如下：
1、本次股份质押基本情况
股东名
称
是否为
控股股
东
本次质押
股数（股）
是否为限售
股（如是，注
明限售类型）
是否
补充
质押
质押起始
日
质押到期
日
质权人
占其
所持
股份
比例
占公司
总股本
比例
质押融
资资金
用途
蔡劲军
否
2,400,000
否
否
2025 年6
月25 日
2026 年6
月25 日
中信证券
股份有限
公司
9.50%
0.50%
个人融
资需求
本次质押股份不存在被用作重大资产重组业绩补偿等事项的担保或其他保障
用途的情形。
2、本次股份被解除质押的情况"
N_上海神奇制药投资管理股份有限公司,上海神奇制药投资管理股份有限公司,,,share_pledge,medium,"本次质押占其持股 >=80% high, >=50% medium",45280000.0,股,迈吉斯 质押给 厦门国际银行,data/gold/blind_test/blind_011_600613_shenqi.json,2,"2
股
东
名
称
是
否
为
控
股
股
东
本次质押股
数
（万股）
是
否
为
限
售
股
是
否
补
充
质
押
质押起始
日
质押到期
日
质
权
人
占其所
持股份
比例
占公
司总
股本
比例
质
押
融
资
资
金
用
途
迈
吉
斯
否
45,280,000
否
否
2025.9.26
2027.9.25
厦
门
国
际
银
行
51.45%
8.48%
经
营
资
金
周
转
合
计
45,280,000
51.45%
8.48%
2、本次质押股份不存在被用作重大资产重组业绩补偿等事项的担保或其他
保障用途的情形。
3、控股股东及其控股公司累计质押股份情况
截至公告披露日，神奇控股及迈吉斯累计质押股份情况如下：
股
东
名
称
持股数
量
（万股）
持股
比例
本次质
押前累
计质押
数量
（万股）
本次质押
后累计质
押数量
（万股）
占其
所持
股份
比例
占公
司总
股本
比例
已质押股份
情况
未质押股份
情况
已质
押股
份中
限售
股份
数量
（万
股）
已质
押股
份中
冻结
股份
数量
（万
股）
未质
押股
份中
限售
股份
数量
（万
股）
未质
押股
份中
冻结
股份
数量
（万
股）
神
奇
控
股
9,066.16
16.98%
4,533.00
4,533.00
50%
8.49%
-
-
-
-"
N_北京万集科技股份有限公司,北京万集科技股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",1060000.0,股,翟军 质押给 建德市新安小额贷款股份有限公司,data/gold/blind_test/blind_013_300552_wanji.json,1,"证券代码：300552
证券简称：万集科技
公告编号：2025-069
北京万集科技股份有限公司
关于控股股东、实际控制人部分股份质押的公告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假
记载、误导性陈述或重大遗漏。
北京万集科技股份有限公司（下称“公司”）于近日接到公司控股股东、实
际控制人翟军先生的通知，翟军先生将其持有的公司部分股份办理了质押业务，
具体事项如下：
一、股东股份质押基本情况
股东名称
是否为控股股东
或第一大股东及
其一致行动人
本次质押
数量（股）
占其所持
股份比例
占公司总
股本比例
是否为限售
股（如是，
注明限售类
型）
是否为补
充质押
质押起始日
质押到期
日
质权人
质押用
途
翟军
是
1,060,000
1.21%
0.50%
是，高管锁
定股
否
2025 年9 月26
日
申请解除
质押登记
日
建德市新
安小额贷
款股份有
限公司
融资
翟军
是
1,590,000
1.82%
0.75%
是，高管锁
定股
否
2025 年9 月26
日
申请解除
质押登记
日
张**
融资
合计
——
2,650,000
3.03%
1.24%
——
——
——
——
——
——
注：本次质押股份不存在负担重大资产重组等业绩补偿义务。
二、股东股份累计质押情况
1.截至公告披露日，翟军先生及其一致行动人所持质押股份情况如下：
股东名称
持股数量
（股）
持股比
例
本次质押前
质押股份数
量（股）
本次质押后
质押股份数
量（股）
占其所持
股份比例
占公司
总股本
比例
已质押股份情况
未质押股份情况
已质押股
份限售和
冻结数量
（股）
占已质押
股份比例
未质押股份
限售和冻结
数量（股）
占未质押
股份比例
翟军
87,437,136
41.02%
31,280,000
33,930,000
38.81%
15.92%
33,930,000
100.00%
31,647,852
59.15%
山东省国际信托股
份有限公司－山东
信托·传字6364 号
4,058,200
1.90%
0
0
0.00%
0.00%
0
0.00%
0
0.00%"
N_北京万集科技股份有限公司,北京万集科技股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",1590000.0,股,翟军 质押给 张**,data/gold/blind_test/blind_013_300552_wanji.json,1,"证券代码：300552
证券简称：万集科技
公告编号：2025-069
北京万集科技股份有限公司
关于控股股东、实际控制人部分股份质押的公告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假
记载、误导性陈述或重大遗漏。
北京万集科技股份有限公司（下称“公司”）于近日接到公司控股股东、实
际控制人翟军先生的通知，翟军先生将其持有的公司部分股份办理了质押业务，
具体事项如下：
一、股东股份质押基本情况
股东名称
是否为控股股东
或第一大股东及
其一致行动人
本次质押
数量（股）
占其所持
股份比例
占公司总
股本比例
是否为限售
股（如是，
注明限售类
型）
是否为补
充质押
质押起始日
质押到期
日
质权人
质押用
途
翟军
是
1,060,000
1.21%
0.50%
是，高管锁
定股
否
2025 年9 月26
日
申请解除
质押登记
日
建德市新
安小额贷
款股份有
限公司
融资
翟军
是
1,590,000
1.82%
0.75%
是，高管锁
定股
否
2025 年9 月26
日
申请解除
质押登记
日
张**
融资
合计
——
2,650,000
3.03%
1.24%
——
——
——
——
——
——
注：本次质押股份不存在负担重大资产重组等业绩补偿义务。
二、股东股份累计质押情况
1.截至公告披露日，翟军先生及其一致行动人所持质押股份情况如下：
股东名称
持股数量
（股）
持股比
例
本次质押前
质押股份数
量（股）
本次质押后
质押股份数
量（股）
占其所持
股份比例
占公司
总股本
比例
已质押股份情况
未质押股份情况
已质押股
份限售和
冻结数量
（股）
占已质押
股份比例
未质押股份
限售和冻结
数量（股）
占未质押
股份比例
翟军
87,437,136
41.02%
31,280,000
33,930,000
38.81%
15.92%
33,930,000
100.00%
31,647,852
59.15%
山东省国际信托股
份有限公司－山东
信托·传字6364 号
4,058,200
1.90%
0
0
0.00%
0.00%
0
0.00%
0
0.00%"
N_福建阿石创新材料股份有限公司,福建阿石创新材料股份有限公司,,,share_pledge,low,"本次质押占其持股 >=80% high, >=50% medium",100.0,股,陈钦忠 质押给 中国工商银行股份有限公司福州八一七支行,data/gold/blind_test/blind_014_300706_ashichuang.json,1,"证券代码：300706
证券简称：阿石创
公告编号：2025-048
福建阿石创新材料股份有限公司
关于控股股东、实际控制人部分股份解除质押及质押的公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，不存在虚假
记载、误导性陈述或重大遗漏。
福建阿石创新材料股份有限公司（以下简称“公司”）近日接到公司控股股东、
实际控制人之一陈钦忠先生函告，获悉其所持有本公司的部分股份办理了解除质押
及质押业务，具体事项如下：
一、本次股东股份解除质押基本情况
股东
名称
是否为控股
股东或第一
大股东及其
一致行动人
本次解
除质押
数（万
股）
占其所直
接持有股
份比例
（%）
占公司总
股本比例
（%）
质押
起始日
解除
质押日
质权人
陈钦忠
是
500
10.35
3.26
2022年8月31日
2025年9月29日
中信银行股份有
限公司福州分行
合计
500
10.35
3.26
-
-
-
注：上述合计数占比差异均为四舍五入原因造成，下同。
二、本次股东股份质押基本情况
股东
名称
是否为控
股股东或
第一大股
东及其一
致行动人
本次
质押
数（万
股）
占其所
直接持
有股份
比例
（%）
占公司
总股本
比例
（%）
是否为
限售股
是否
为补
充质
押
质押
起始日
质押
到期日
质权人
用途
陈钦
忠
是
100
2.07
0.65
高管锁
定股
否
2025年9月26日
办理解
除质押
登记之
日为止
中国工商银
行股份有限
公司福州八
一七支行
担保
合计
100
2.07
0.65
-
-
-
-
-
-
三、股东股份累计被质押的情况"
