holdout_id,security_code,security_name,announcement_date,target_pattern,announcement_title,source_url,notes
backtest_linggang_001,600231,凌钢股份,2022-01-22,pledge,凌源钢铁股份有限公司股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-1/2022-01-22/7800737.PDF,sina doc 7800737; event 2024-04-30
backtest_linggang_002,600231,凌钢股份,2022-03-02,related_estimate,凌源钢铁股份有限公司2022年度日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-3/2022-03-02/7858436.PDF,sina doc 7858436; event 2024-04-30
backtest_linggang_003,600231,凌钢股份,2022-04-21,pledge,凌源钢铁股份有限公司关于公司股东股份解除质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-4/2022-04-21/8023615.PDF,sina doc 8023615; event 2024-04-30
backtest_linggang_004,600231,凌钢股份,2022-05-11,guarantee_backtest,凌源钢铁股份有限公司关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-5/2022-05-11/8199126.PDF,sina doc 8199126; event 2024-04-30
backtest_linggang_005,600231,凌钢股份,2022-05-21,guarantee_backtest,凌源钢铁股份有限公司关于继续开展资产池业务暨为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-5/2022-05-21/8233343.PDF,sina doc 8233343; event 2024-04-30
backtest_linggang_006,600231,凌钢股份,2022-06-11,guarantee_backtest,凌源钢铁股份有限公司关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-6/2022-06-11/8285403.PDF,sina doc 8285403; event 2024-04-30
backtest_linggang_007,600231,凌钢股份,2022-06-23,guarantee_backtest,凌源钢铁股份有限公司关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-6/2022-06-23/8310872.PDF,sina doc 8310872; event 2024-04-30
backtest_linggang_008,600231,凌钢股份,2022-07-06,pledge,凌源钢铁股份有限公司关于股东股票质押展期的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-7/2022-07-06/8344500.PDF,sina doc 8344500; event 2024-04-30
backtest_linggang_009,600231,凌钢股份,2022-08-05,pledge,凌源钢铁股份有限公司关于控股股东所持公司股份解质及再质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-8/2022-08-05/8400223.PDF,sina doc 8400223; event 2024-04-30
backtest_linggang_010,600231,凌钢股份,2022-08-31,guarantee_backtest,凌源钢铁股份有限公司关于对外提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-8/2022-08-31/8502077.PDF,sina doc 8502077; event 2024-04-30
backtest_linggang_011,600231,凌钢股份,2022-08-31,related_estimate,凌源钢铁股份有限公司关于调整2022年度部分日常关联交易金额的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-8/2022-08-31/8502076.PDF,sina doc 8502076; event 2024-04-30
backtest_linggang_012,600231,凌钢股份,2022-09-01,capacity,凌源钢铁股份有限公司关于炼钢产能置换建设项目进展的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-9/2022-09-01/8510160.PDF,sina doc 8510160; event 2024-04-30
backtest_linggang_013,600231,凌钢股份,2022-09-24,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-9/2022-09-24/8556197.PDF,sina doc 8556197; event 2024-04-30
backtest_linggang_014,600231,凌钢股份,2022-10-19,guarantee_backtest,关于为控股股东提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2022/2022-10/2022-10-19/8600746.PDF,sina doc 8600746; event 2024-04-30
